Name	Description	SourceMTOverride	SourceMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [specimen]	Characteristics [specimen]	Isolation_time	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]	mic_of_fk506	ICZ	mic_of_natamycin	PZ	mic_of_terbinafine	VCZ	mic_of_tebuconazole
A17-48F-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Watermelon	n/a	27.7611 N	82.2277 W	Aspergillus fischeri	Aspergillus fischeri A17-48F-1	>16 ug/ml	1.5 ug/ml	>16 ug/ml	1 ug/ml	0.1875 ug/ml	1.5 ug/ml	16 ug/ml Sensitive
A17-49A-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	 Fort Meade	Florida	Soil	 Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-49A-3	0.5 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-48E-8	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Watermelon	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-48E-8	1.25 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1.5 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-49A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	 Fort Meade	Florida	Soil	 Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-49A-1	1.25 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	2 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-47F-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-47F-2	0.5 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-47D-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-47D-2	4 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-46C-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-46C-2	4.25 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-6C-6	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/27/17	USA	North America	 Cordele	Georgia	Vine debris	 Watermelon	60 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-6C-6	1.5 ug/ml	1 ug/ml	12 ug/ml	0.625 ug/ml	0.625 ug/ml	0.1875 ug/ml	1.5 ug/ml Sensitive
A17-46C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-46C-1	4 ug/ml	0.5 ug/ml	16 ug/ml	0.125 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-46B-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-46B-1	4.25 ug/ml	1 ug/ml	16 ug/ml	0.375 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-45G-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-45G-2	0.375 ug/ml	1 ug/ml	>16 ug/ml	0.5 ug/ml	0.75 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-45G-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Tomato	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-45G-1	2 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	2 ug/ml Resistant
A17-44H-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Strawberry	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-44H-2	0.5 ug/ml	0.5 ug/ml	16 ug/ml	0.125 ug/ml	0.5 ug/ml	0.125 ug/ml	0.5 ug/ml Resistant
A17-44H-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Strawberry	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-44H-1	0.375 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.75 ug/ml	3 ug/ml Sensitive
A17-44B-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Strawberry	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-44B-4	4 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-44B-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Strawberry	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-44B-2	0.5 ug/ml	1 ug/ml	>16 ug/ml	0.375 ug/ml	1.5 ug/ml	0.375 ug/ml	1 ug/ml Sensitive
A17-44A-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Strawberry	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-44A-2	3 ug/ml	1 ug/ml	>16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-44A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	 Wimauma	Florida	Soil	 Strawberry	n/a	27.7611 N	82.2277 W	Aspergillus fumigatus	Aspergillus fumigatus A17-44A-1	4 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-4A-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	 Blairsville	Georgia	Soil	 Grapevine	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-4A-2	1 ug/ml	1 ug/ml	16 ug/ml	0.1875 ug/ml	0.75 ug/ml	0.1875 ug/ml	1 ug/ml Sensitive
A17-43B-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/21/17	USA	North America	 Ashburn	Georgia	Soil	 Blueberry	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-43B-1	2 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-31C-13	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Compost	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-31C-13	0.5 ug/ml	0.5 ug/ml	>16 ug/ml	0.25 ug/ml	2 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-31C-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Compost	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-31C-7	2 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-31C-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Compost	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-31C-2	0.5 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	2 ug/ml	0.25 ug/ml	2 ug/ml Sensitive
A17-27C-14	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-27C-14	10 ug/ml	1 ug/ml	>16 ug/ml	0.5 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-27C-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-27C-7	1 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	0.25 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-23C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Compost	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-23C-1	0.5 ug/ml	0.5 ug/ml	16 ug/ml	0.125 ug/ml	0.5 ug/ml	0.125 ug/ml	0.5 ug/ml Resistant
A17-22C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-22C-1	16 ug/ml	1 ug/ml	>16 ug/ml	1 ug/ml	1 ug/ml	>16 ug/ml	>16 ug/ml Sensitive
A17-21C-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-21C-3	0.75 ug/ml	1 ug/ml	>16 ug/ml	0.5 ug/ml	1.5 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-33B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-33B-7	4 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-4A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	 Blairsville	Georgia	Soil	 Grapevine	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-4A-1	0.28 ug/ml	0.5 ug/ml	12 ug/ml	0.1875 ug/ml	1.5 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-32B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-32B-7	0.5 ug/ml	0.5 ug/ml	16 ug/ml	0.125 ug/ml	0.5 ug/ml	0.125 ug/ml	0.5 ug/ml Resistant
A17-25B-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-25B-4	0.5 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-22B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-22B-7	0.25 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-21B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-21B-7	4 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-30A-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Soil	 Pecan new orchard	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-30A-7	4 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-29A-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan new orchard	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-29A-4	4 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-28A-12	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan old orchard	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-28A-12	0.25 ug/ml	1 ug/ml	12 ug/ml	0.25 ug/ml	0.75 ug/ml	0.375 ug/ml	1 ug/ml Resistant
A17-24A-5	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Soil	 Pecan	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-24A-5	0.5 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-23A-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Compost	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-23A-2	1 ug/ml	0.5 ug/ml	16 ug/ml	0.125 ug/ml	1 ug/ml	0.125 ug/ml	0.5 ug/ml Resistant
A17-22A-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-22A-7	1 ug/ml	0.5 ug/ml	16 ug/ml	0.125 ug/ml	1 ug/ml	0.125 ug/ml	0.5 ug/ml Resistant
A17-3F-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/1/17	USA	North America	 Cordele	Georgia	Vine debris	 Watermelon	30 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-3F-1	 ug/ml	 ug/ml	 ug/ml	 ug/ml	 ug/ml	 ug/ml	 ug/ml Resistant
A17-21A-22	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-21A-22	0.5 ug/ml	1 ug/ml	>16 ug/ml	0.5 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-21A-20	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/13/17	USA	North America	 Albany	Georgia	Plant debris	 Pecan processing facility	n/a	31.5487 N	84.1764 W	Aspergillus fumigatus	Aspergillus fumigatus A17-21A-20	0.5 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-19D-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/6/17	USA	North America	 Athens	Georgia	Soil	 Brassica (Organic)	n/a	33.9033 N	83.3739 W	Aspergillus fumigatus	Aspergillus fumigatus A17-19D-3	0.5 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.25 ug/ml	0.5 ug/ml Resistant
A17-20D-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/6/17	USA	North America	 Athens	Georgia	Compost	 Mixed (Organic)	n/a	33.9033 N	83.3739 W	Aspergillus fumigatus	Aspergillus fumigatus A17-20D-3	4.25 ug/ml	1.5 ug/ml	16 ug/ml	1 ug/ml	2.5 ug/ml	>16 ug/ml	>16 ug/ml Sensitive
A17-20D-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/6/17	USA	North America	 Athens	Georgia	Compost	 Mixed (Organic)	n/a	33.9033 N	83.3739 W	Aspergillus fumigatus	Aspergillus fumigatus A17-20D-2	0.5 ug/ml	1.5 ug/ml	16 ug/ml	1 ug/ml	1.5 ug/ml	>16 ug/ml	>16 ug/ml Sensitive
A17-20B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/6/17	USA	North America	 Athens	Georgia	Compost	 Mixed (Organic)	n/a	33.9033 N	83.3739 W	Aspergillus fumigatus	Aspergillus fumigatus A17-20B-7	0.5 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-20B-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/6/17	USA	North America	 Athens	Georgia	Compost	 Mixed (Organic)	n/a	33.9033 N	83.3739 W	Aspergillus fumigatus	Aspergillus fumigatus A17-20B-3	1.25 ug/ml	1 ug/ml	16 ug/ml	0.375 ug/ml	0.75 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-20B-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			12/6/17	USA	North America	 Athens	Georgia	Compost	 Mixed (Organic)	n/a	33.9033 N	83.3739 W	Aspergillus fumigatus	Aspergillus fumigatus A17-20B-2	4.5 ug/ml	2 ug/ml	16 ug/ml	1 ug/ml	0.75 ug/ml	>16 ug/ml	>16 ug/ml Sensitive
A17-16C-14	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-16C-14	2.25 ug/ml	0.75 ug/ml	16 ug/ml	0.25 ug/ml	0.75 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-16C-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-16C-7	0.75 ug/ml	1 ug/ml	16 ug/ml	0.375 ug/ml	1 ug/ml	0.375 ug/ml	2 ug/ml Sensitive
A17-3A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/1/17	USA	North America	 Cordele	Georgia	Vine debris	 Watermelon	30 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-3A-1	0.75 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	0.75 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive
A17-15C-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-15C-4	0.5 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	0.75 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive
A17-14C-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-14C-4	0.5 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	1 ug/ml Resistant
A17-14C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-14C-1	2.5 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	1.5 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive
A17-12C-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Soil	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-12C-2	2.5 ug/ml	1 ug/ml	12 ug/ml	0.375 ug/ml	0.75 ug/ml	0.25 ug/ml	1 ug/ml Sensitive
A17-12C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Soil	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-12C-1	0.5 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	1 ug/ml	0.5 ug/ml	2 ug/ml Resistant
A17-11C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Soil	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-11C-1	4.25 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	1.5 ug/ml Sensitive
A17-13B-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Soil	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-13B-1	0.75 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-17B-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Sycamore	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-17B-2	2 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant
A17-16B-8	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Plant debris	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-16B-8	1.5 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	2 ug/ml Sensitive
A17-11B-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	 Tifton	Georgia	Soil	 Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-11B-2	1 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant
